title,entropy,clustering
theboneandjointcenter.com,2.70540707377295,8
two-n.com,1.6950821251152608,4
disney.co.jp,1.6964876748930693,6
wikipedia.org,1.309148705067448,4
news.yahoo.co.jp,1.8199933033029803,5
huxiu.com,1.9847332154115978,7
cheshi.com,1.4705908240278287,5
humblebundle.com,2.2684512322372528,5
theatlantic.com,2.359338304834776,8
microsoft.com,2.3302272360643292,6
opera.com,1.5364237940312688,5
labinthewild.org,1.6439781483523828,4
richyli.com,0.6418311632362084,3
pxtoem.com,0.8532025713031659,2
javadrive.jp,1.4188207299865043,4
jiqimao.tv,2.498889494254012,7
clamav.net,1.0644821538005766,3
bootcdn.cn,1.4610998007533798,4
runoob.com,1.4879198312235535,4
tensorfly.cn,1.4973329446692916,4
journaldugeek.com,2.8005078224337625,8
matetranslate.com,1.6468133297651775,4
kameisyouten.ocnk.net,1.925281417567767,5
gingerweb.jp,2.071491279437344,6
cp.pocky.jp,2.31896989417618,6
aladdin-aic.com,1.7469385815005876,4
kokage-m.com,2.014622395898815,5
steakland.jp,1.582743682592252,5
showroomprive.com,2.208827556337515,5
imas-cg.net,2.110804812410602,7
filetender.com,0.6418177723686382,3
hexo.io,1.2121033888364523,3
yinwang.org,1.6860772767963346,4
blog.yitianshijie.net,1.3994820270236001,4
yatani.jp,0.21683766293284787,2
qiita.com,1.6783982455837378,5
52nlp.cn,0.4463052913807633,2
guidetojapanese.org,1.3169914430283927,4
olderadults.mobi,0.9210094328715277,5
blog.whatsapp.com,1.692296685123441,4
lomake.fi,1.2155740121505145,3
bgmaimuna.com,1.9990157416463104,6
0dt.net,2.1639733609940053,5
web.ics.purdue.edu,0.293040178277456,2
canon-foundation.jp,2.112803995636523,5
blog.sciencenet.cn,1.2099872395866045,5
pantone.com,2.3127437762368506,6
news.livedoor.com,1.0399198685770492,4
gmo.jp,2.294881922973138,6
tokai-tv.com,3.1789430176675393,11
life-is-tech.com,2.5044558844352265,6
bloomberg.co.jp,2.3340040409622453,7
cerezo.jp,2.609336986485221,7
tech.nikkeibp.co.jp,1.732463125950348,6
jp.techcrunch.com,1.7487700612847261,4
capcom.co.jp,1.3805920973947412,6
sankei.com,1.6075274130946269,5
tech-jp.co.jp,2.47404142209837,7
tech-camp.in,2.623560298063276,7
hasegawa-heart.com,1.6869775214890106,5
techplay.jp,2.715093163466721,7
cps.com.cn,2.389290868702499,7
trafst.jp,0.9581794111640907,3
infoq.com,2.012867843116954,5
jcr.incites.thomsonreuters.com,1.968673801744596,7
dna.fr,2.159488092127027,6
macg.co,2.2900949229139353,6
cvpr2018.thecvf.com,2.0503443927697527,6
chi2019.acm.org,1.7200732646124361,5
swellnet.com,2.2354465683647273,6
klex.ru,1.1668373362314222,3
theborneopost.com,1.8421386828374762,5
