title,luminance_sd
theboneandjointcenter.com,71.59877246407491
two-n.com,29.741275635841205
disney.co.jp,82.24280167300662
wikipedia.org,21.698209533506507
news.yahoo.co.jp,83.15630252730175
huxiu.com,70.78385027363741
cheshi.com,75.31011848607478
humblebundle.com,39.012533110686306
theatlantic.com,94.97211095099786
microsoft.com,73.49239780959277
opera.com,51.73310759550712
labinthewild.org,35.44037340868727
richyli.com,36.556025231269594
pxtoem.com,82.55509514891261
javadrive.jp,32.70791159634746
jiqimao.tv,69.08156641167079
clamav.net,103.97832947163815
bootcdn.cn,56.218039055053126
runoob.com,26.655547375199987
tensorfly.cn,42.64061748592886
journaldugeek.com,94.74606394170705
matetranslate.com,44.463845456319966
kameisyouten.ocnk.net,55.07988040290578
gingerweb.jp,69.86022727636713
cp.pocky.jp,93.2143339386526
aladdin-aic.com,44.380127820509614
kokage-m.com,59.988558176822046
steakland.jp,60.023828762536134
showroomprive.com,47.0173941893096
imas-cg.net,45.28571725609969
filetender.com,29.136275009940974
hexo.io,110.96407495897591
yinwang.org,8.940665483202988
blog.yitianshijie.net,43.92315036072198
yatani.jp,21.178619734903947
qiita.com,46.109588316663846
52nlp.cn,33.169030784991385
guidetojapanese.org,57.1022112641709
olderadults.mobi,46.53968846960939
blog.whatsapp.com,34.04146286336066
lomake.fi,30.42356012095135
bgmaimuna.com,72.0578143224449
0dt.net,104.84507341472131
web.ics.purdue.edu,21.82932085591716
canon-foundation.jp,77.4631349686027
blog.sciencenet.cn,53.82670528674039
pantone.com,90.16905445648287
news.livedoor.com,45.37454879537891
gmo.jp,68.21327492971209
tokai-tv.com,96.72287499273152
life-is-tech.com,76.34202693883128
bloomberg.co.jp,93.9446001634908
cerezo.jp,74.19272524659709
tech.nikkeibp.co.jp,64.50542326771979
jp.techcrunch.com,56.76139689893461
capcom.co.jp,74.52766391931962
sankei.com,81.36703393956351
tech-jp.co.jp,92.44125615710556
tech-camp.in,72.54912967360418
hasegawa-heart.com,68.10364945818846
techplay.jp,90.90339533933424
cps.com.cn,81.32627351886323
trafst.jp,36.47835655792352
infoq.com,35.666709776397816
jcr.incites.thomsonreuters.com,87.70405646727289
dna.fr,80.12430579586578
macg.co,66.31975527948917
cvpr2018.thecvf.com,106.43457145074153
chi2019.acm.org,53.60279296074335
swellnet.com,59.51673973254406
klex.ru,50.74405442494358
theborneopost.com,82.33172430915224
