title,png_size
theboneandjointcenter.com,311142
two-n.com,268287
disney.co.jp,1107672
wikipedia.org,99471
news.yahoo.co.jp,399741
huxiu.com,677307
cheshi.com,757158
humblebundle.com,1320081
theatlantic.com,866502
microsoft.com,913563
opera.com,266520
labinthewild.org,407616
richyli.com,338544
pxtoem.com,140325
javadrive.jp,210255
jiqimao.tv,1255383
clamav.net,143745
bootcdn.cn,128487
runoob.com,225423
tensorfly.cn,1264758
journaldugeek.com,863922
matetranslate.com,721626
kameisyouten.ocnk.net,811566
gingerweb.jp,890316
cp.pocky.jp,512661
aladdin-aic.com,1354950
kokage-m.com,845481
steakland.jp,1233552
showroomprive.com,1202178
imas-cg.net,434064
filetender.com,95694
hexo.io,94416
yinwang.org,88029
blog.yitianshijie.net,273621
yatani.jp,146709
qiita.com,355428
52nlp.cn,235992
guidetojapanese.org,155358
olderadults.mobi,210585
blog.whatsapp.com,156603
lomake.fi,152208
bgmaimuna.com,711093
0dt.net,1027311
web.ics.purdue.edu,78354
canon-foundation.jp,1378152
blog.sciencenet.cn,558933
pantone.com,1450128
news.livedoor.com,638925
gmo.jp,1189503
tokai-tv.com,1511175
life-is-tech.com,1031583
bloomberg.co.jp,679644
cerezo.jp,1302324
tech.nikkeibp.co.jp,661104
jp.techcrunch.com,413001
capcom.co.jp,987375
sankei.com,821388
tech-jp.co.jp,1634385
tech-camp.in,1267143
hasegawa-heart.com,548205
techplay.jp,1825512
cps.com.cn,1008330
trafst.jp,430740
infoq.com,343887
jcr.incites.thomsonreuters.com,92580
dna.fr,684441
macg.co,781929
cvpr2018.thecvf.com,1225674
chi2019.acm.org,282516
swellnet.com,844596
klex.ru,153606
theborneopost.com,836046
