title,balance,equilibrium,symmetry,nodes
theboneandjointcenter.com,0.7750123075181643,0.7851156967720234,0.9995460809270914,1726
two-n.com,0.6922080491207202,0.6785771906594285,0.9991973494771053,976
disney.co.jp,0.7820291899083391,0.7625454482321217,0.9994873867793853,1528
wikipedia.org,-0.3332708599022265,0.5164257648764361,0.9900850768654578,79
news.yahoo.co.jp,0.6547901512089485,0.5297835592311071,0.9992566203994234,1054
huxiu.com,0.4731843458566731,0.46562742578439753,0.9991692240301876,943
cheshi.com,0.7821000391889188,0.8391007248065141,0.9995421721041498,1711
humblebundle.com,0.9168405490454274,0.9014683243987648,0.999764171396102,3322
theatlantic.com,0.5308945753811878,0.7114435798214322,0.9994436474565122,1408
microsoft.com,0.8209056945876312,0.6656634466410847,0.9995211836578116,1636
opera.com,0.43200478913265195,0.4714518169952858,0.9987525740696844,628
labinthewild.org,0.8186997762053496,0.8733814382933845,0.9994884828243847,1531
richyli.com,0.5788485235632362,0.5727217728404419,0.998846095983701,679
pxtoem.com,-0.3143210632917457,0.5274021077139113,0.9888087465851738,70
javadrive.jp,0.6567885713716431,0.7286007194541777,0.9993190237951166,1150
jiqimao.tv,0.885690758026674,0.7487915960066995,0.9996965241035733,2581
clamav.net,0.17932727741996968,0.6288697947833561,0.9963901258839752,217
bootcdn.cn,0.3828104791935081,0.3974651473277514,0.9981393527701651,421
runoob.com,0.3667419848567073,0.5337852648473598,0.9988998175116891,712
tensorfly.cn,0.45290298895838754,0.35374823035888037,0.9995531469861191,1753
journaldugeek.com,0.8659481180078579,0.7420539110331956,0.9996583135121284,2293
matetranslate.com,0.5851559428109792,0.382064330042884,0.9995237681892659,1645
kameisyouten.ocnk.net,0.9361014724392731,0.9499356917210542,0.999802091817981,3958
gingerweb.jp,0.6756144080519961,0.8539793363839165,0.999487429599117,1528
cp.pocky.jp,0.6673329957875986,0.8703388843123848,0.9993801755303922,1264
aladdin-aic.com,0.669744106859941,0.4413897743527103,0.9995437377977198,1717
kokage-m.com,0.7040446458337783,0.562831343665352,0.9995085322105345,1594
steakland.jp,0.7336454183017314,0.7631341639779774,0.9995721883488113,1831
showroomprive.com,0.7469027014075684,0.6498086666575433,0.9996270936990056,2101
imas-cg.net,0.8139488933951176,0.8529996254130469,0.9996831934598421,2473
filetender.com,0.15980091806008678,0.4346397538380332,0.9984936240687483,520
hexo.io,0.7573474534656038,0.7461812984044449,0.99848551739036,517
yinwang.org,-0.3218373802193235,0.43528447657588953,0.9964872639792391,223
blog.yitianshijie.net,0.6589551665323328,0.6991423899925882,0.9992329230493264,1021
yatani.jp,-0.04823031947071632,0.4974045787602649,0.9980561435861591,403
qiita.com,0.8069266978920144,0.5981335568405315,0.9994586782827896,1447
52nlp.cn,-0.30908004216506924,0.469776908978324,0.9982155699683354,439
guidetojapanese.org,-0.10162201393664438,0.5602627541326595,0.9919242584142799,97
olderadults.mobi,-0.33333333333333326,0.6286032729976903,0.9510416666666667,16
blog.whatsapp.com,0.12862309331500377,0.4734316840237883,0.9981657804214692,427
lomake.fi,0.5972663166861076,0.47207419213963775,0.999012113885733,793
bgmaimuna.com,0.7710023180592102,0.7863638719274536,0.9995889952750313,1906
0dt.net,0.7931551211886446,0.7542265457773895,0.9997190272472579,2788
web.ics.purdue.edu,-0.33333333333333326,0.6286032729976903,0.9510416666666667,16
canon-foundation.jp,0.8465078106281915,0.8752034853844999,0.999647332808993,2221
blog.sciencenet.cn,0.6500300503827082,0.7758978041089257,0.9995947599153897,1933
pantone.com,0.8868965377750798,0.8588249720629493,0.9997333532420135,2938
news.livedoor.com,0.7031136990563563,0.9089547400746764,0.999378665043072,1261
gmo.jp,0.7489867930195495,0.631428757199473,0.9995422426770808,1711
tokai-tv.com,0.8335763021114446,0.7682612601387032,0.9996989906709637,2602
life-is-tech.com,0.9325522760868759,0.7807276226517401,0.9997347480071663,2953
bloomberg.co.jp,0.7085429504171856,0.676765174762944,0.9993493401167834,1204
cerezo.jp,0.933840326077812,0.8920011649445498,0.9997692040563017,3394
tech.nikkeibp.co.jp,0.6961646136838731,0.6283948137701583,0.9994962267922318,1555
jp.techcrunch.com,0.2897683773728523,0.7640913610796536,0.9986631507020243,586
capcom.co.jp,0.6744903656509591,0.6428392295530143,0.9993860197841937,1276
sankei.com,0.5366342273695756,0.7692932674585734,0.9995356749696294,1687
tech-jp.co.jp,0.9147551579791784,0.8025237139384033,0.9997495015418586,3127
tech-camp.in,0.8715931606196676,0.7855199937351051,0.9996789404879148,2440
hasegawa-heart.com,0.4688271628124777,0.396148883028538,0.9992304580311734,1018
techplay.jp,0.912976145890373,0.8015762170980409,0.9997544340274138,3190
cps.com.cn,0.7233073295086014,0.6076537067086556,0.9995934999045188,1927
trafst.jp,0.7130731482887007,0.7932283472664451,0.9994029270709651,1312
infoq.com,0.2127340318497961,0.6244069052967951,0.9979966964602862,391
jcr.incites.thomsonreuters.com,0.39963943493837717,0.7463298661314732,0.9983401558217202,472
dna.fr,0.6371838671277388,0.545531839372313,0.9995158043327393,1618
macg.co,0.8248557402444051,0.6663892160870113,0.9995629194585246,1792
cvpr2018.thecvf.com,0.8372328803943324,0.5125886320747546,0.9995791072273138,1861
chi2019.acm.org,0.39364319819978266,0.47773109608385733,0.9990684883047076,841
swellnet.com,0.721150900027882,0.6899659060377994,0.9995187261151539,1627
klex.ru,0.4526314778434166,0.5915915404843766,0.998875940650659,697
theborneopost.com,0.6634170158185639,0.7693052810121336,0.9995516312601661,1747
